Candidato,Voti,Lista,Circoscrizione,Genere
Giulia Riva,163,Civica Nord,Nord,F
Marco Fontana,154,Uniti per la Citta,Nord,M
Elena Bassi,149,Riforma Civile,Centro,F
Luca Moretti,138,Uniti per la Citta,Sud,M
Sara Conti,132,Verde Futuro,Centro,F
Davide Neri,124,Civica Nord,Sud,M
Irene Sala,113,Riforma Civile,Nord,F
Paolo Greco,104,Verde Futuro,Centro,M
Francesca Longo,96,Uniti per la Citta,Sud,F
Alessio Villa,88,Civica Nord,Nord,M
Martina De Luca,81,Riforma Civile,Centro,F
Riccardo Gallo,75,Verde Futuro,Sud,M
Noemi Serra,69,Uniti per la Citta,Nord,F
Tommaso Rizzi,62,Civica Nord,Centro,M
Chiara Ferri,58,Riforma Civile,Sud,F
Federico Pini,51,Verde Futuro,Nord,M
Alice Romano,47,Uniti per la Citta,Centro,F
Giorgio Testa,44,Civica Nord,Sud,M
Laura Marchetti,39,Riforma Civile,Nord,F
Simone Bellini,33,Verde Futuro,Centro,M
